I0125 15:54:27.518444   59701 feature_gate.go:226] feature gates: &{map[MountContainers:false APIResponseCompression:false DynamicAuditing:false RunAsGroup:false DebugContainers:false KubeletPodResources:false ServiceNodeExclusion:false ValidateProxyRedirects:false CSIDriverRegistry:false VolumeSubpathEnvExpansion:false ProcMountType:false RuntimeClass:false TTLAfterFinished:false HyperVContainer:false CustomResourceWebhookConversion:false BoundServiceAccountTokenVolume:false CSIBlockVolume:false CustomCPUCFSQuotaPeriod:false VolumeSnapshotDataSource:false ExperimentalCriticalPodAnnotation:false CSINodeInfo:false AllAlpha:false Initializers:false BalanceAttachedNodeVolumes:false SCTPSupport:false ExpandInUsePersistentVolumes:false QOSReserved:false ResourceLimitsPriorityFunction:false]}
I0125 15:54:27.518519   59701 flags.go:33] FLAG: --address="0.0.0.0"
I0125 15:54:27.518525   59701 flags.go:33] FLAG: --algorithm-provider=""
I0125 15:54:27.518527   59701 flags.go:33] FLAG: --alsologtostderr="false"
I0125 15:54:27.518531   59701 flags.go:33] FLAG: --application-metrics-count-limit="100"
I0125 15:54:27.518534   59701 flags.go:33] FLAG: --authentication-kubeconfig=""
I0125 15:54:27.518536   59701 flags.go:33] FLAG: --authentication-skip-lookup="false"
I0125 15:54:27.518539   59701 flags.go:33] FLAG: --authentication-token-webhook-cache-ttl="10s"
I0125 15:54:27.518542   59701 flags.go:33] FLAG: --authentication-tolerate-lookup-failure="true"
I0125 15:54:27.518544   59701 flags.go:33] FLAG: --authorization-always-allow-paths="[/healthz]"
I0125 15:54:27.518549   59701 flags.go:33] FLAG: --authorization-kubeconfig=""
I0125 15:54:27.518551   59701 flags.go:33] FLAG: --authorization-webhook-cache-authorized-ttl="10s"
I0125 15:54:27.518554   59701 flags.go:33] FLAG: --authorization-webhook-cache-unauthorized-ttl="10s"
I0125 15:54:27.518556   59701 flags.go:33] FLAG: --azure-container-registry-config=""
I0125 15:54:27.518558   59701 flags.go:33] FLAG: --bind-address="0.0.0.0"
I0125 15:54:27.518561   59701 flags.go:33] FLAG: --boot-id-file="/proc/sys/kernel/random/boot_id"
I0125 15:54:27.518563   59701 flags.go:33] FLAG: --cert-dir=""
I0125 15:54:27.518565   59701 flags.go:33] FLAG: --client-ca-file=""
I0125 15:54:27.518567   59701 flags.go:33] FLAG: --cloud-provider-gce-lb-src-cidrs="130.211.0.0/22,209.85.152.0/22,209.85.204.0/22,35.191.0.0/16"
I0125 15:54:27.518571   59701 flags.go:33] FLAG: --config=""
I0125 15:54:27.518574   59701 flags.go:33] FLAG: --container-hints="/etc/cadvisor/container_hints.json"
I0125 15:54:27.518576   59701 flags.go:33] FLAG: --containerd="unix:///var/run/containerd.sock"
I0125 15:54:27.518579   59701 flags.go:33] FLAG: --contention-profiling="false"
I0125 15:54:27.518581   59701 flags.go:33] FLAG: --default-not-ready-toleration-seconds="300"
